Store Name,Address,City,State,ZIP,Phone,Email,Region,Priority
Judaica Corner,4301 13th Ave,Brooklyn,NY,11219,(718) 435-5900,,Brooklyn - Borough Park,1
New Eichler's,5004 13th Ave,Brooklyn,NY,11219,(718) 874-9771,,Brooklyn - Borough Park,1
Kodesh Judaica,5205 13th Ave,Brooklyn,NY,11219,(718) 633-8080,,Brooklyn - Borough Park,1
Keter Judaica (13th Ave),5309 13th Ave,Brooklyn,NY,11219,(718) 480-5532,,Brooklyn - Borough Park,1
Keter Quality Judaica (14th Ave),3720 14th Ave,Brooklyn,NY,11218,(718) 480-7538,,Brooklyn - Borough Park,1
Malchut Judaica (Boro Park),3902 14th Ave,Brooklyn,NY,11218,(718) 854-7700,,Brooklyn - Borough Park,1
Shloimy's Judaica,4405 15th Ave,Brooklyn,NY,11219,(718) 437-3649,,Brooklyn - Borough Park,1
Seforim World / Antique Seforim,4403 16th Ave,Brooklyn,NY,11204,(718) 438-8414,seforim@gmail.com,Brooklyn - Borough Park,1
J. Biegeleisen,4409 16th Ave,Brooklyn,NY,11204,(718) 436-1165,,Brooklyn - Borough Park,1
Scharf's Judaica,4904 16th Ave,Brooklyn,NY,11204,(718) 484-0340,,Brooklyn - Borough Park,1
Z. Berman Books (Boro Park),4602 17th Ave,Brooklyn,NY,11204,(718) 871-5316,,Brooklyn - Borough Park,1
Greenfeld Judaica,1366 39th St,Brooklyn,NY,11218,(718) 633-8103,,Brooklyn - Borough Park,1
Seforim Center,1128 41st St,Brooklyn,NY,11218,(917) 755-3775,Info@SeforimCenter.com,Brooklyn - Borough Park,1
My Sefer,928 44th St,Brooklyn,NY,11219,(718) 483-9041,,Brooklyn - Borough Park,1
Mivchar Judaica,1802 50th St,Brooklyn,NY,11204,(718) 437-4753,mivcherjudaica@gmail.com,Brooklyn - Borough Park,1
Seforim Store (Chabad),1581 52nd St,Brooklyn,NY,11219,,,Brooklyn - Borough Park,1
Eichler's Judaica (Flatbush),1401 Coney Island Ave,Brooklyn,NY,11230,(718) 258-7643,,Brooklyn - Flatbush,1
Hecht's Judaica,1265 Coney Island Ave,Brooklyn,NY,11230,(718) 258-9696,,Brooklyn - Flatbush,1
Z. Berman Books (Flatbush),1586 Coney Island Ave,Brooklyn,NY,11230,(718) 258-1955,,Brooklyn - Flatbush,1
