Key,SourceString
common.yes,Yes
common.no,No
common.ok,OK
common.cancel,Cancel
common.confirm,Confirm
common.back,Back
common.close,Close
common.apply,Apply
common.reset,Reset
common.on,On
common.off,Off
common.loading,Loading…
common.saving,Saving…
common.none,None
common.default,Default
common.custom,Custom
common.enabled,Enabled
common.disabled,Disabled
common.error,Error
common.warning,Warning
common.unknown,Unknown
menu.title,The Third Beis HaMikdash
menu.subtitle,A measured walkthrough
menu.continue,Continue
menu.new,New Walkthrough
menu.load,Load
menu.options,Options
menu.credits,Credits
menu.quit,Quit
menu.quitConfirm,Leave the walkthrough?
menu.quitBody,Your progress will be saved first.
menu.resume,Resume
menu.pauseTitle,Paused
menu.returnToMenu,Return to Main Menu
menu.tagline,Walk the courts as the measurements describe them.
save.title,Save
save.loadTitle,Load
save.empty,Empty
save.autosave,Autosave
save.saved,Saved
save.saveFailed,The save could not be written.
save.loadFailed,The save could not be read.
save.corrupt,This save is damaged and cannot be opened.
save.truncated,This save is incomplete and cannot be opened.
save.tooOld,This save was made by a version of the walkthrough that is too old to open.
save.tooNew,This save was made by a newer version of the walkthrough.
save.migrated,This save was made by an earlier version and has been brought up to date.
save.overwrite,Replace this save?
save.deleteConfirm,Delete this save?
save.delete,Delete
save.playTime,Time in the Mikdash
save.lastPlayed,Last visited
save.progress,Progress
save.slot,Slot {0}
save.newSlot,New Save
tour.title,Guided Tour
tour.start,Begin the tour
tour.resume,Resume the tour
tour.stop,Leave the tour
tour.next,Next
tour.previous,Previous
tour.replay,Play again
tour.completed,Visited
tour.free,Walk freely
tour.stopCounter,Stop {0} of {1}
tour.allComplete,You have visited every stop on the tour.
codex.title,Codex
codex.search,Search
codex.noResults,Nothing found.
codex.locked,Not yet discovered
codex.unlocked,New entry unlocked
codex.readMore,Read more
codex.sources,Sources
codex.measurements,Measurements
codex.entriesFound,{0} of {1} entries
photo.title,Photo Mode
photo.take,Take photo
photo.saved,Photo saved
photo.hideUi,Hide interface
photo.fieldOfView,Field of view
photo.exposure,Exposure
photo.focus,Focus distance
photo.aperture,Aperture
photo.roll,Roll
photo.resolution,Capture resolution
photo.filter,Look
photo.grid,Composition guides
options.title,Options
options.tabGraphics,Graphics
options.tabAudio,Audio
options.tabControls,Controls
options.tabAccessibility,Accessibility
options.tabLanguage,Language
options.language,Language
options.languageEnglish,English
options.languageHebrew,Hebrew
options.unsaved,You have unapplied changes.
options.resetAll,Restore all defaults
options.preset,Quality
options.presetLow,Low
options.presetMedium,Medium
options.presetHigh,High
options.presetEpic,Epic
options.presetCinematic,Cinematic
options.resolution,Resolution
options.windowMode,Display mode
options.fullscreen,Fullscreen
options.windowedFullscreen,Borderless window
options.windowed,Windowed
options.vsync,Vertical sync
options.frameRateLimit,Frame rate limit
options.frameRateUncapped,Uncapped
options.brightness,Brightness
options.shadows,Shadows
options.textures,Textures
options.effects,Effects
options.foliage,Foliage
options.viewDistance,View distance
options.reflections,Reflections
options.antiAliasing,Anti-aliasing
options.postProcessing,Post processing
options.globalIllumination,Global illumination
options.upscaling,Upscaling
options.upscalingQuality,Upscaling quality
options.screenPercentage,Render scale
options.volumeMaster,Overall volume
options.volumeMusic,Music
options.volumeAmbience,Ambience
options.volumeNarration,Narration
options.volumeEffects,Sound effects
options.volumeFootsteps,Footsteps
options.muteWhenUnfocused,Mute when the window is not in focus
options.mouseSensitivity,Mouse sensitivity
options.invertY,Invert vertical look
options.fieldOfView,Field of view
options.headBob,Head movement while walking
options.gamepad,Gamepad
options.rebind,Change key
options.pressKey,Press a key…
options.keyInUse,That key is already used by {0}.
options.holdOrToggle,Hold or toggle
options.snapTurn,Snap turning
options.subtitles,Subtitles
options.subtitleSize,Subtitle size
options.subtitleBackground,Subtitle background
options.textSize,Interface text size
options.reduceMotion,Reduce camera motion
options.highContrast,High contrast interface
options.colourVision,Colour vision
options.colourVisionDeuteranope,Deuteranopia
options.colourVisionProtanope,Protanopia
options.colourVisionTritanope,Tritanopia
hud.interact,Examine
hud.enter,Enter
hud.blocked,You may not enter here.
hud.timeOfDay,Time of day
hud.dawn,Dawn
hud.morning,Morning
hud.midday,Midday
hud.afternoon,Afternoon
hud.dusk,Dusk
hud.night,Night
hud.compass,Compass
hud.north,N
hud.south,S
hud.east,E
hud.west,W
units.amah,{0} amos
units.amahOne,1 amah
units.metres,{0} m
units.tefach,{0} tefachim
units.hours,{0} h
units.minutes,{0} min
