Key,SourceString
common.yes,כן
common.no,לא
common.ok,אישור
common.cancel,ביטול
common.confirm,אישור
common.back,חזרה
common.close,סגירה
common.apply,החל
common.reset,איפוס
common.on,פועל
common.off,כבוי
common.loading,טוען…
common.saving,שומר…
common.none,ללא
common.default,ברירת מחדל
common.custom,מותאם אישית
common.enabled,מופעל
common.disabled,מושבת
common.error,שגיאה
common.warning,אזהרה
common.unknown,לא ידוע
menu.title,בית המקדש השלישי
menu.subtitle,סיור מדוד
menu.continue,המשך
menu.new,סיור חדש
menu.load,טעינה
menu.options,הגדרות
menu.credits,תודות
menu.quit,יציאה
menu.quitConfirm,לצאת מהסיור?
menu.quitBody,ההתקדמות שלך תישמר תחילה.
menu.resume,המשך
menu.pauseTitle,הסיור מושהה
menu.returnToMenu,חזרה לתפריט הראשי
menu.tagline,
save.title,שמירה
save.loadTitle,טעינה
save.empty,ריק
save.autosave,שמירה אוטומטית
save.saved,נשמר
save.saveFailed,לא ניתן היה לכתוב את קובץ השמירה.
save.loadFailed,לא ניתן לקרוא את קובץ השמירה.
save.corrupt,קובץ השמירה פגום ולא ניתן לפתוח אותו.
save.truncated,קובץ השמירה אינו שלם ולא ניתן לפתוח אותו.
save.tooOld,שמירה זו נוצרה בגרסה ישנה מדי של הסיור ולא ניתן לפתוח אותה.
save.tooNew,קובץ השמירה נוצר בגרסה חדשה יותר של הסיור.
save.migrated,קובץ השמירה נוצר בגרסה קודמת ועודכן לגרסה הנוכחית.
save.overwrite,להחליף את קובץ השמירה?
save.deleteConfirm,למחוק את קובץ השמירה?
save.delete,מחיקה
save.playTime,זמן במקדש
save.lastPlayed,ביקור אחרון
save.progress,התקדמות
save.slot,
save.newSlot,
tour.title,סיור מודרך
tour.start,התחלת הסיור
tour.resume,המשך הסיור
tour.stop,סיום הסיור
tour.next,הבא
tour.previous,הקודם
tour.replay,השמעה חוזרת
tour.completed,נצפה
tour.free,סיור חופשי
tour.stopCounter,
tour.allComplete,
codex.title,
codex.search,חיפוש
codex.noResults,לא נמצאו תוצאות.
codex.locked,טרם התגלה
codex.unlocked,נפתח ערך חדש
codex.readMore,קריאה נוספת
codex.sources,מקורות
codex.measurements,מידות
codex.entriesFound,{0} מתוך {1} ערכים
photo.title,מצב צילום
photo.take,צילום
photo.saved,התמונה נשמרה
photo.hideUi,הסתרת הממשק
photo.fieldOfView,שדה ראייה
photo.exposure,חשיפה
photo.focus,מרחק מיקוד
photo.aperture,צמצם
photo.roll,הטיה
photo.resolution,רזולוציית צילום
photo.filter,
photo.grid,
options.title,הגדרות
options.tabGraphics,גרפיקה
options.tabAudio,שמע
options.tabControls,שליטה
options.tabAccessibility,נגישות
options.tabLanguage,שפה
options.language,שפה
options.languageEnglish,אנגלית
options.languageHebrew,עברית
options.unsaved,קיימים שינויים שלא הוחלו.
options.resetAll,שחזור ברירות המחדל
options.preset,רמת איכות
options.presetLow,נמוכה
options.presetMedium,בינונית
options.presetHigh,גבוהה
options.presetEpic,
options.presetCinematic,
options.resolution,רזולוציה
options.windowMode,מצב תצוגה
options.fullscreen,מסך מלא
options.windowedFullscreen,חלון ללא מסגרת
options.windowed,חלון
options.vsync,סנכרון אנכי
options.frameRateLimit,הגבלת קצב פריימים
options.frameRateUncapped,ללא הגבלה
options.brightness,בהירות
options.shadows,צללים
options.textures,טקסטורות
options.effects,אפקטים
options.foliage,צמחייה
options.viewDistance,מרחק תצוגה
options.reflections,השתקפויות
options.antiAliasing,החלקת קצוות
options.postProcessing,
options.globalIllumination,
options.upscaling,
options.upscalingQuality,
options.screenPercentage,
options.volumeMaster,עוצמה כללית
options.volumeMusic,מוזיקה
options.volumeAmbience,צלילי רקע
options.volumeNarration,קריינות
options.volumeEffects,אפקטים קוליים
options.volumeFootsteps,צעדים
options.muteWhenUnfocused,השתקה כשהחלון אינו בפוקוס
options.mouseSensitivity,רגישות עכבר
options.invertY,היפוך ציר אנכי
options.fieldOfView,שדה ראייה
options.headBob,תנועת ראש בהליכה
options.gamepad,שלט משחק
options.rebind,שינוי מקש
options.pressKey,לחץ על מקש…
options.keyInUse,המקש כבר משמש עבור {0}.
options.holdOrToggle,
options.snapTurn,
options.subtitles,כתוביות
options.subtitleSize,גודל כתוביות
options.subtitleBackground,רקע לכתוביות
options.textSize,גודל טקסט בממשק
options.reduceMotion,הפחתת תנועת מצלמה
options.highContrast,ממשק בניגודיות גבוהה
options.colourVision,
options.colourVisionDeuteranope,
options.colourVisionProtanope,
options.colourVisionTritanope,
hud.interact,התבוננות
hud.enter,כניסה
hud.blocked,אין כניסה מכאן.
hud.timeOfDay,שעת היום
hud.dawn,עלות השחר
hud.morning,בוקר
hud.midday,צהריים
hud.afternoon,אחר הצהריים
hud.dusk,בין הערביים
hud.night,לילה
hud.compass,מצפן
hud.north,צ
hud.south,ד
hud.east,מז
hud.west,מע
units.amah,{0} אמות
units.amahOne,אמה אחת
units.metres,{0} מ׳
units.tefach,{0} טפחים
units.hours,{0} שע׳
units.minutes,{0} דק׳
