Key,SourceString
common.yes,כן
common.no,לא
common.ok,אישור
common.cancel,ביטול
common.confirm,אישור
common.back,חזרה
common.close,סגירה
common.apply,החל
common.reset,איפוס
common.on,פועל
common.off,כבוי
common.loading,טוען…
common.saving,שומר…
common.none,ללא
common.default,ברירת מחדל
common.custom,מותאם אישית
common.enabled,מופעל
common.disabled,מושבת
common.error,שגיאה
common.warning,אזהרה
common.unknown,לא ידוע
menu.title,בית המקדש השלישי
menu.subtitle,סיור מדוד
menu.continue,המשך
menu.new,סיור חדש
menu.load,טעינה
menu.options,הגדרות
menu.credits,תודות
menu.quit,יציאה
menu.quitConfirm,לצאת מהסיור?
menu.quitBody,ההתקדמות שלך תישמר תחילה.
menu.resume,המשך
menu.pauseTitle,הסיור מושהה
menu.returnToMenu,חזרה לתפריט הראשי
menu.tagline,Walk the courts as the measurements describe them.
save.title,שמירה
save.loadTitle,טעינה
save.empty,ריק
save.autosave,שמירה אוטומטית
save.saved,נשמר
save.saveFailed,לא ניתן היה לכתוב את קובץ השמירה.
save.loadFailed,לא ניתן לקרוא את קובץ השמירה.
save.corrupt,קובץ השמירה פגום ולא ניתן לפתוח אותו.
save.truncated,קובץ השמירה אינו שלם ולא ניתן לפתוח אותו.
save.tooNew,קובץ השמירה נוצר בגרסה חדשה יותר של הסיור.
save.migrated,קובץ השמירה נוצר בגרסה קודמת ועודכן לגרסה הנוכחית.
save.overwrite,להחליף את קובץ השמירה?
save.deleteConfirm,למחוק את קובץ השמירה?
save.delete,מחיקה
save.playTime,זמן במקדש
save.lastPlayed,ביקור אחרון
save.progress,התקדמות
save.slot,Slot {0}
save.newSlot,New Save
tour.title,סיור מודרך
tour.start,התחלת הסיור
tour.resume,המשך הסיור
tour.stop,סיום הסיור
tour.next,הבא
tour.previous,הקודם
tour.replay,השמעה חוזרת
tour.completed,נצפה
tour.free,סיור חופשי
tour.stopCounter,Stop {0} of {1}
tour.allComplete,You have visited every stop on the tour.
codex.title,Codex
codex.search,חיפוש
codex.noResults,לא נמצאו תוצאות.
codex.locked,טרם התגלה
codex.unlocked,נפתח ערך חדש
codex.readMore,קריאה נוספת
codex.sources,מקורות
codex.measurements,מידות
codex.entriesFound,{0} מתוך {1} ערכים
photo.title,מצב צילום
photo.take,צילום
photo.saved,התמונה נשמרה
photo.hideUi,הסתרת הממשק
photo.fieldOfView,שדה ראייה
photo.exposure,חשיפה
photo.focus,מרחק מיקוד
photo.aperture,צמצם
photo.roll,הטיה
photo.resolution,רזולוציית צילום
photo.filter,Look
photo.grid,Composition guides
options.title,הגדרות
options.tabGraphics,גרפיקה
options.tabAudio,שמע
options.tabControls,שליטה
options.tabAccessibility,נגישות
options.tabLanguage,שפה
options.language,שפה
options.languageEnglish,אנגלית
options.languageHebrew,עברית
options.unsaved,קיימים שינויים שלא הוחלו.
options.resetAll,שחזור ברירות המחדל
options.preset,רמת איכות
options.presetLow,נמוכה
options.presetMedium,בינונית
options.presetHigh,גבוהה
options.presetEpic,Epic
options.presetCinematic,Cinematic
options.resolution,רזולוציה
options.windowMode,מצב תצוגה
options.fullscreen,מסך מלא
options.windowedFullscreen,חלון ללא מסגרת
options.windowed,חלון
options.vsync,סנכרון אנכי
options.frameRateLimit,הגבלת קצב פריימים
options.frameRateUncapped,ללא הגבלה
options.brightness,בהירות
options.shadows,צללים
options.textures,טקסטורות
options.effects,אפקטים
options.foliage,צמחייה
options.viewDistance,מרחק תצוגה
options.reflections,השתקפויות
options.antiAliasing,החלקת קצוות
options.postProcessing,Post processing
options.globalIllumination,Global illumination
options.upscaling,Upscaling
options.upscalingQuality,Upscaling quality
options.screenPercentage,Render scale
options.volumeMaster,עוצמה כללית
options.volumeMusic,מוזיקה
options.volumeAmbience,צלילי רקע
options.volumeNarration,קריינות
options.volumeEffects,אפקטים קוליים
options.volumeFootsteps,צעדים
options.muteWhenUnfocused,השתקה כשהחלון אינו בפוקוס
options.mouseSensitivity,רגישות עכבר
options.invertY,היפוך ציר אנכי
options.fieldOfView,שדה ראייה
options.headBob,תנועת ראש בהליכה
options.gamepad,שלט משחק
options.rebind,שינוי מקש
options.pressKey,לחץ על מקש…
