page	E1	E2	E3	E4	E5	E6	E7	total	max	e3_risk	blocks	error
2	-1	-1	-1	-1	-1	1	1	0	7	0.0	0	no blocks
3	-1	-1	1	1	1	1	1	5	5	0.0	8	None
4	-1	-1	1	1	1	1	1	5	5	0.0	8	None
5	-1	-1	1	1	1	1	1	5	5	0.0	7	None
6	-1	-1	1	1	1	1	1	5	5	0.0	2	None
7	-1	-1	1	1	1	1	1	5	5	0.0	2	None
8	-1	-1	1	1	1	1	1	5	5	0.0	2	None
9	-1	-1	1	1	1	1	1	5	5	0.0	6	None
10	-1	-1	1	1	1	1	1	5	5	0.0	3	None
11	-1	-1	1	1	1	1	1	5	5	0.0	4	None
12	-1	-1	1	1	1	1	1	5	5	0.0	2	None
13	-1	-1	1	1	1	1	1	5	5	0.0	6	None
14	-1	-1	1	1	1	1	1	5	5	0.0	3	None
15	-1	-1	1	1	1	1	1	5	5	0.0	3	None
16	-1	-1	1	1	1	1	1	5	5	0.0	2	None
17	-1	-1	1	1	1	1	1	5	5	0.0	2	None
18	-1	-1	1	1	1	1	1	5	5	0.01	4	None
19	-1	-1	1	1	1	1	1	5	5	0.0	4	None
20	-1	-1	1	1	1	1	1	5	5	0.0	1	None
21	-1	-1	1	1	1	1	1	5	5	0.0	8	None
22	-1	-1	1	1	1	1	1	5	5	0.013	25	None
23	-1	-1	1	1	1	1	1	5	5	0.016	9	None
24	-1	-1	1	1	1	1	1	5	5	0.003	13	None
25	-1	-1	1	1	1	1	1	5	5	0.005	10	None
26	-1	-1	1	1	1	1	1	5	5	0.003	5	None
27	-1	-1	1	1	1	1	1	5	5	0.0	3	None
28	-1	-1	1	1	1	1	1	5	5	0.0	7	None
29	-1	-1	1	1	1	1	1	5	5	0.0	1	None
30	-1	-1	1	1	1	1	1	5	5	0.0	7	None
31	-1	-1	1	1	1	1	1	5	5	0.006	5	None
32	-1	-1	1	1	1	1	1	5	5	0.027	8	None
33	-1	-1	1	1	1	1	1	5	5	0.001	14	None
34	-1	-1	1	1	1	1	1	5	5	0.002	7	None
35	-1	-1	1	1	1	1	1	5	5	0.0	10	None
36	-1	-1	1	1	1	1	1	5	5	0.001	11	None
37	-1	-1	1	1	1	1	1	5	5	0.002	4	None
38	-1	-1	1	1	1	1	1	5	5	0.0	8	None
39	-1	-1	1	1	1	1	1	5	5	0.001	7	None
40	-1	-1	1	1	1	1	1	5	5	0.0	4	None
41	-1	-1	1	1	1	1	1	5	5	0.001	5	None
42	-1	-1	1	1	1	1	1	5	5	0.004	7	None
43	-1	-1	1	1	1	1	1	5	5	0.001	7	None
44	-1	-1	1	1	1	1	1	5	5	0.005	7	None
45	-1	-1	1	1	1	1	1	5	5	0.012	6	None
46	-1	-1	1	1	1	1	1	5	5	0.002	4	None
47	-1	-1	1	1	1	1	1	5	5	0.0	6	None
48	-1	-1	1	1	1	1	1	5	5	0.0	2	None
49	-1	-1	1	1	1	1	1	5	5	0.07	5	None
50	-1	-1	1	1	1	1	1	5	5	0.004	7	None
51	-1	-1	1	1	1	1	1	5	5	0.0	3	None
52	-1	-1	1	1	1	1	1	5	5	0.008	8	None
53	-1	-1	1	1	1	1	1	5	5	0.0	13	None
54	-1	-1	1	1	1	1	1	5	5	0.001	7	None
55	-1	-1	1	1	1	1	1	5	5	0.001	4	None
56	-1	-1	1	1	1	1	1	5	5	0.002	10	None
57	-1	-1	1	1	1	1	1	5	5	0.0	2	None
58	-1	-1	1	1	1	1	1	5	5	0.093	6	None
59	-1	-1	1	1	1	1	1	5	5	0.01	7	None
60	-1	-1	1	1	1	1	1	5	5	0.011	6	None
61	-1	-1	1	1	1	1	1	5	5	0.012	7	None
62	-1	-1	1	1	1	1	1	5	5	0.0	4	None
63	-1	-1	1	1	1	1	1	5	5	0.004	7	None
64	-1	-1	1	1	1	1	1	5	5	0.0	4	None
65	-1	-1	1	1	1	1	1	5	5	0.0	9	None
66	-1	-1	1	1	1	1	1	5	5	0.004	7	None
67	-1	-1	1	1	1	1	1	5	5	0.0	10	None
68	-1	-1	-1	-1	-1	1	1	0	7	0.0	0	no blocks
69	-1	-1	1	1	1	1	1	5	5	0.0	4	None
70	-1	-1	-1	-1	-1	1	1	0	7	0.0	0	no blocks
71	-1	-1	1	1	1	1	1	5	5	0.0	4	None
72	-1	-1	1	1	1	1	1	5	5	0.0	8	None
73	-1	-1	1	1	1	1	1	5	5	0.0	5	None
74	-1	-1	1	1	1	1	1	5	5	0.0	7	None
75	-1	-1	1	1	1	1	1	5	5	0.0	3	None
76	-1	-1	1	1	1	1	1	5	5	0.0	3	None
77	-1	-1	1	1	1	1	1	5	5	0.0	8	None
78	-1	-1	1	1	1	1	1	5	5	0.0	2	None
79	-1	-1	1	1	1	1	1	5	5	0.0	1	None
80	-1	-1	1	1	1	1	1	5	5	0.0	2	None
81	-1	-1	1	1	1	1	1	5	5	0.0	2	None
82	-1	-1	1	1	1	1	1	5	5	0.0	2	None
83	-1	-1	1	1	1	1	1	5	5	0.0	4	None
84	-1	-1	1	1	1	1	1	5	5	0.0	6	None
85	-1	-1	1	1	1	1	1	5	5	0.0	5	None
86	-1	-1	1	1	1	1	1	5	5	0.0	2	None
87	-1	-1	1	1	1	1	1	5	5	0.0	4	None
88	-1	-1	1	1	1	1	1	5	5	0.0	3	None
89	-1	-1	1	1	1	1	1	5	5	0.0	4	None
90	-1	-1	1	1	1	1	1	5	5	0.0	2	None
91	-1	-1	1	1	1	1	1	5	5	0.0	4	None
92	-1	-1	1	1	1	1	1	5	5	0.0	6	None
93	-1	-1	1	1	1	1	1	5	5	0.003	3	None
94	-1	-1	1	1	1	1	1	5	5	0.0	3	None
95	-1	-1	1	1	1	1	1	5	5	0.0	3	None
96	-1	-1	1	1	1	1	1	5	5	0.0	3	None
97	-1	-1	1	1	1	1	1	5	5	0.0	3	None
98	-1	-1	1	1	1	1	1	5	5	0.0	2	None
99	-1	-1	1	1	1	1	1	5	5	0.0	5	None
100	-1	-1	1	1	1	1	1	5	5	0.0	2	None
101	-1	-1	1	1	1	1	1	5	5	0.0	8	None
102	-1	-1	1	1	1	1	1	5	5	0.011	5	None
103	-1	-1	1	1	1	1	1	5	5	0.001	6	None
104	-1	-1	1	1	1	1	1	5	5	0.0	4	None
105	-1	-1	1	1	1	1	1	5	5	0.0	1	None
106	-1	-1	1	1	1	1	1	5	5	0.0	2	None
107	-1	-1	1	1	1	1	1	5	5	0.013	8	None
108	-1	-1	1	1	1	1	1	5	5	0.0	8	None
109	-1	-1	1	1	1	1	1	5	5	0.0	8	None
110	-1	-1	1	1	1	1	1	5	5	0.008	25	None
111	-1	-1	1	1	1	1	1	5	5	0.007	5	None
112	-1	-1	1	1	1	1	1	5	5	0.015	10	None
113	-1	-1	1	1	1	1	1	5	5	0.003	8	None
114	-1	-1	1	1	1	1	1	5	5	0.005	10	None
115	-1	-1	1	1	1	1	1	5	5	0.001	8	None
116	-1	-1	1	1	1	1	1	5	5	0.005	10	None
117	-1	-1	1	1	1	1	1	5	5	0.016	8	None
118	-1	-1	1	1	1	1	1	5	5	0.009	7	None
119	-1	-1	1	1	1	1	1	5	5	0.0	12	None
120	-1	-1	1	1	1	1	1	5	5	0.0	3	None
121	-1	-1	1	1	1	1	1	5	5	0.001	14	None
122	-1	-1	1	1	1	1	1	5	5	0.0	7	None
123	-1	-1	1	1	1	1	1	5	5	0.001	8	None
124	-1	-1	-1	-1	-1	1	1	0	7	0.0	0	no blocks
125	-1	-1	1	1	1	1	1	5	5	0.002	8	None
126	-1	-1	1	1	1	1	1	5	5	0.0	7	None
127	-1	-1	1	1	1	1	1	5	5	0.008	11	None
128	-1	-1	1	1	1	1	1	5	5	0.005	4	None
129	-1	-1	1	1	1	1	1	5	5	0.006	7	None
130	-1	-1	1	1	1	1	1	5	5	0.027	7	None
131	-1	-1	1	1	1	1	1	5	5	0.001	8	None
132	-1	-1	1	1	1	1	1	5	5	0.001	14	None
